Time,Qeav,BOD5eav,TCODeav,TSSeav,SALKeav,TNeav,SNHeav,SNOeav,TKNeav,Tempeav
0,20511.37612225,14.6646104166666,2.54906940173754,50.7411875911949,15.5919332214076,4.64270267019802,9.80739329323776,0.163516758981532,7.60906145992601,2.19833183331174
1,19078.3573681561,14.7916435855559,2.40787034696514,48.9501057446003,14.5541898387075,4.82949868804393,9.20197156165971,0.163309580704655,7.0951147684542,2.10685679320551
2,19878.2242497641,14.7404612885429,2.47215673440406,49.6991461836178,14.9138010020037,4.67196234998925,10.1206171223982,0.201915521368668,7.9351854663394,2.1854316560588
3,19845.1978669438,14.6730496258733,2.43061410724239,48.9698776142398,14.6565563833736,4.27693178452024,13.1320590266149,0.25627770674594,10.9482847449997,2.18377428161519
4,20696.5998344765,14.566076261431,2.57289728090365,52.1547817685523,15.4885400302364,4.32141776039545,12.3194797266951,0.282585003002822,10.0229496650484,2.29653006164667
5,15689.4606103112,14.5300498880458,2.22650153238091,47.8986094723338,13.3186748404146,4.49594837079188,10.408907527259,0.158108491859841,8.46131464419493,1.94759288306405
6,17804.3335079019,14.4231812642296,2.30956630118952,48.0378529431677,14.069625803727,4.36646516732402,11.9853437089457,0.183923390220139,9.95395969198985,2.03138401695585
7,19016.4612173658,14.3268504902219,2.41183843121025,49.8464130661662,14.7331606780935,4.37934170000266,12.8328530007275,0.231785564123959,10.6680873197799,2.16476568094759
8,23568.7217255416,14.2464595099204,2.8321849678962,54.3570029933572,17.2658707661962,4.4214020942179,12.9600255829249,0.280364690160958,10.4857434283645,2.47428215456036
9,21130.5183679919,14.2071178176718,2.54628136654142,46.983920255088,15.286922505321,4.64017475319958,12.5286917442485,0.341768513142241,10.1893261126973,2.33936563155114
10,38466.851541679,14.0065044629505,5.95911318325074,58.7013092370326,26.1810169935383,5.10303054278088,12.7986032520359,1.41704786513497,8.33602252942042,4.46258072261553
11,25259.1106422117,14.023805767472,2.85023139796811,45.4520753313003,16.6460701752476,5.08290085359013,12.9380572864608,0.501215285559808,10.3034415624997,2.63461572396116
12,19599.31599619,13.9278179553898,2.54060397656124,48.7007212732077,14.8575216558792,4.70414280955868,12.7116883219415,0.229625582898201,10.5473671169581,2.16432120498339
13,32044.3651586867,13.7855360036862,3.55038223930348,53.8001239283262,21.1830844288021,4.90800193949704,13.8615189387349,0.652846521190956,10.6401087866958,3.22141015203905
14,38847.469414486,13.7201312220552,3.91042902031289,49.5144165305225,22.4160768620564,5.25149028606551,14.1356530854336,0.71048086617522,10.6625311737622,3.47312191167143
15,51177.8022882818,13.6410716475237,15.050162554289,70.00922800594,37.2289824449278,5.75687495186566,14.1759408786937,2.77971550824227,7.14921971363304,7.0267211650607
16,47956.0945391953,13.5055103933259,6.09371613046326,50.9897836453504,26.4218601972274,5.6684287722796,15.1967923757006,2.76444905751029,9.19834866349033,5.99844371221032
17,40154.659787202,13.3993605890078,4.05066601973801,45.5986397580073,22.3930658817265,5.78014606568897,10.4288989558651,1.15851325028991,6.53862733243979,3.89027162342527
18,28215.3548826348,13.3607419368969,3.26024936476504,45.4450449205691,17.835796084269,5.13913078797606,13.0503790627802,1.13445042883274,9.64105863731755,3.40932042546265
19,19744.997751659,13.3254069510886,2.70104788337369,47.6159594870669,14.7836772455386,4.88071196303201,11.4426414723133,0.300748937011172,9.21466644006669,2.2279750322466
20,20263.4870171446,13.2306872602906,2.70016341548938,50.4018347057712,15.0059734058987,4.73272960040726,12.5105474930771,0.297703074210971,10.2659304566537,2.24461703642339
21,20727.2905332946,13.1356720772041,2.71214055394327,52.1660540596865,15.1164493219281,4.66836379075603,11.8766163258843,0.300760238193139,9.6155674260809,2.26104889980342
22,22391.462301251,13.0680895830756,2.79895301227874,51.1881034041033,15.5658619033523,4.50514915950272,12.6407831413239,0.634502168955205,9.97864728407093,2.66213585725299
23,20298.6883271687,12.992830445089,2.76944302235531,52.0489597226703,15.3853105062009,4.50224284061527,11.8328678045801,0.41401432182289,9.41889251084404,2.41397529373605
24,21259.857763021,12.9220246928123,2.75166191118321,50.2598937812694,15.2485905363785,4.50944495784882,11.3839653902963,0.503353158062139,8.88808552993859,2.49587986035769
25,21078.6202522858,12.8325599774033,2.73678520610033,48.8956402921649,15.1563065101593,4.47335225265532,11.8423068466859,0.611391636287262,9.24990851236105,2.59239833432486
26,17250.6758667436,12.7763838296102,2.44264205130104,46.9530155871934,13.5561864563759,4.16612114292272,13.2878010858027,0.289556005915285,11.2027719927325,2.0850290930702
27,17130.2628659558,12.6814116198109,2.46174245282752,48.1562835257346,13.8585943178271,4.27596781704865,13.0198951295519,0.274581529492939,10.9339456977433,2.08594943180867
28,19509.9952609606,12.5781750425997,2.59965994798694,50.7971320981431,14.700484467426,4.26938414022554,13.9725266671579,0.595665930002684,11.4642767999636,2.50824986719429
29,20367.5585521244,12.5114142305351,2.72843124869137,49.5242043021704,15.3453664575337,4.24055112679992,12.9768275676421,0.604021299770895,10.391925534148,2.58490203349417
30,20521.3726392469,12.4476815336184,2.73068863888791,48.8743232806563,15.2766868887278,4.27811002146709,12.5620509195088,0.60536600168661,9.98876529914886,2.57328562035994
31,20451.9941594735,12.3741995144616,2.75391602286097,52.6474508348646,15.3751031086022,4.20551671430805,12.4404484547878,0.341641977947689,10.1342806442122,2.30616781057559
32,20275.7229360565,12.3165423192299,2.7479485877799,54.4256248196215,15.2683555465631,4.54056798614646,10.7632587942936,0.350502077592405,8.42972971339744,2.33352908089612
33,17544.0852295142,12.2566527973529,2.51143379283591,50.9863785567087,13.9639309017419,4.73971212978777,10.029542776108,0.23787437235918,7.95786881655718,2.07167395955086
34,14777.9723021623,12.1873847551261,2.29106833422702,47.8605711826371,12.8484045955357,4.50984784664568,11.099347667349,0.222586431155976,9.17233116081363,1.92701650653533
35,20715.1682078118,12.0796095950543,2.68513497803506,50.3966712082652,15.2025734967456,4.50704503522826,11.5408516516874,0.312582820216667,9.28127135149041,2.25958030019696
36,20098.7575702943,12.0241956117708,2.68712468757182,50.5188160548137,15.1268702800284,4.32207920902749,13.6273899011078,0.607300780454475,11.066047168864,2.56134273224381
37,21397.1060196844,11.9541383334825,2.78242216009874,52.3932227332551,15.6271123571408,4.11514889347671,15.5512661493071,0.895059249959469,12.6535730659156,2.89769308339159
38,22138.7006156609,11.885210304392,2.86734872070588,53.2600369429242,16.0416832273802,4.25514493194507,13.5351201860729,0.462134783013059,11.045121735997,2.48999845007594
39,23087.9790792578,11.8245634947452,3.01068323322907,54.5131893211097,16.7231655622801,4.65545985125919,12.0659142414231,0.797043654355608,9.14315556764824,2.9227586737749
40,33473.9046188711,11.6935802430733,3.6345202810468,48.2520897558174,20.2957729387241,5.19388677381923,11.5790367157973,0.761770411669656,8.36323696082651,3.21579975497082
41,25738.7212694342,11.640349635808,3.06110066044215,43.2935354684535,17.1282200898155,4.8905294488106,14.6962713647568,0.785967898494944,11.7814143300002,2.91485703475665
42,21375.8285704714,11.6093385925492,2.76551828396647,46.1230713788995,15.4263826025044,4.54729518179424,15.629761476965,0.592132127370064,13.0693838494974,2.5603776274676
43,20347.403850064,11.5687089579128,2.76429352559162,50.8779933164236,15.3169880469309,4.56648010077709,11.7668516341589,0.37579139761429,9.42045799600996,2.34639363814892
44,20339.1904693976,11.4977064014226,2.82201704491316,52.7411083368044,15.5845435934811,4.64689752030179,11.6051272376138,0.700665073269515,8.88551945745781,2.71960778015597
45,26516.1739511215,11.3807552361599,3.26966004992466,50.5887810491102,18.0640224582953,4.49824222592206,14.6877535298557,1.38330243027669,11.0305792734981,3.65717425635761
46,20188.92903295,11.377961215733,2.76279940426412,46.1571478505942,15.1226034212958,4.45345838199364,14.3784414277456,0.608280472752786,11.8318051094336,2.54663631831204
47,17716.5268672181,11.3212016873771,2.70749268997966,48.6684122124975,14.8672884277646,4.29823723140228,12.6624389697194,0.347042960889161,10.4133297465617,2.24910922315765
48,18914.025597462,11.2748067528938,2.65428015399334,49.8740645125619,14.7315312186012,4.25584801689539,15.0572599266044,0.555666095098329,12.6116885192385,2.44557140736593
49,20860.86713953,11.1995536618299,2.79722973713362,53.2343513023408,15.5708021956029,4.19481547087614,16.5059119501128,0.687863196200369,13.841321957128,2.66458999298473
